paper_id,cluster_id
W2099468260,11
W2344963917,909
W2089437550,910
W2100770837,24
W2073751678,911
W3002885741,912
W2072441740,8
W1968173975,913
W2012992615,0
W2556068545,31
W176939601,914
W2921980263,2
W4285297940,16
W1987811240,48
W4238083723,202
W2101308260,44
W2144006591,109
W2154502005,40
W2127752689,915
W2127109099,4
W2008835805,42
W4200174173,166
W2995161752,916
W2147141800,4
W2787581402,917
W81972919,918
W1763079358,919
W2137017911,920
W2156304718,921
W4213222928,922
W1561256858,40
W2982112268,3
W2293299776,0
W2077694950,923
W2883780447,7
W2170422354,60
W89654658,203
W2139977214,18
W1991055526,12
W1986021461,237
W3034602892,924
W2090177212,925
W2963452532,10
W2950055287,3
W2583071196,926
W1995643834,927
W2983008824,16
W4233458394,928
W2163504740,25
W2101267836,110
W1495444061,929
W2158959273,930
W2078860536,15
W1481358901,931
W1983572666,932
W2025043404,33
W2049221684,30
W1603565383,14
W2604700393,0
W2053639795,187
W2913360047,7
W3085526106,933
W2170239483,17
W2798918712,4
W2096509679,63
W3191161603,1
W1581253957,934
W4300886904,252
W2152767746,204
